T?NG H?P T?N KHO;;;;;;;;
Kho: Kho Vientiane SPM, T? ngày 04/10/2025 ??n ngày 20/12/2025;;;;;;;;
STT;Mã hàng;Tên hàng;?VT;Cu?i k?;SL Ki?m kê;Chênh l?ch;Ghi chú;
284;KOVP;????????????????? - h?p không bánh h?p v? phong;PCS;839 ;;;;
285;VHKNHO;?????????????????? - vô h?p không nho;H?p;700 ;;;;
286;893 534080983 4;???????????????????? 01;An;27 ;;;;
287;893 534080982 7;???????????????????? 02;An;75 ;;;;
288;8857128993781;??????????????? CP 400*30cm ( ???????? ) - Kor phaek CP 400*30cm;Cái;96 ;;;;
289;8857128993798;??????????????? CP 600*45cm ( ???????? ) - Kor phaek CP 600*45cm;Cái;158 ;;;;
290;841165161539;????????? ??????????  PRAN COOKIES TIME CHOCO CHIPS COOKIES 160GM X 36 PCS;Bag;8.614 ;;;;
291;CTSC80G;????? ????????? ???????  80g - CHIZY TODAY SOFT CREAM 80G;Bag;1.620 ;;;;
292;CTSC80GL;????? ????????? ???????  80g (?????????) - CHIZY TODAY SOFT CREAM 80G;Box;0 ;;;;
293;6971938251632;???????????? - ST Air fresh  ???????????;Bottle;8.839 ;;;;
294;6971938251687;???????????? - ST Air fresh ??????????????;Bottle;6.069 ;;;;
295;6971938251694;???????????? - ST Air fresh ???????????;Bottle;6.520 ;;;;
296;6971938251670;???????????? - ST Air fresh ??????????;Bottle;7.611 ;;;;
297;6971938251649;???????????? - ST Air fresh ????????????????;Bottle;7.427 ;;;;
298;HMNTG;???????????????? NTG hàng m?u;Bag;1.208 ;;;;
299;HMDMD;????????????????DMD-Hàng m?u;Box;90 ;;;;
300;893 609915314 8;??????? ?? 01;An;96 ;;;;
301;893 609915357 5;??????? ?? 02;An;220 ;;;;
302;893 534081147 9;??????? ?? 03;An;10 ;;;;
303;893 609915812 9;????????????? 01;An;3 ;;;;
304;893 609915814 3;????????????? 02;An;85 ;;;;
305;anlanh001;??????????? ???100??? an lành (box);Box;4.252 ;;;;
306;8938511051001;??????????? ???100??? an lành (bag);Bag;5.890 ;;;;
307;8938547976057;???????????????? DMD 900ml - n??c t?y toilet DMD 900ml;Box;79 ;;;;
308;893 614030617 2;??????? 11 ?????????;An;20 ;;;;
309;893 614030618 9;??????? 11 ??????????????;An;4 ;;;;
310;893 614030620 2;??????? 13 ?????????;An;32 ;;;;
311;893 614030611 0;??????? 7 ?????????????;An;118 ;;;;
312;893 614030615 8;??????? 9 ????????;An;79 ;;;;
313;8935478TM0675;????????????????? - baby whipes vietteens;Bag;359 ;;;;
314;8936230640018;???????????????????-kh?n ??t con ong;Túi;15 ;;;;
315;8938539381111;????????????? 10????/???;Bag;400 ;;;;
316;8936052760017;?????????????????? Q2 275g - POTATO CRISP CRACKER Q2 275G;Bag;0 ;;;;
317;893 534080471 6;???????? 2 ???;An;22 ;;;;
318;893 609915249 3;????????????;An;112 ;;;;
319;893 614030734 6;?????????????? 1;An;17 ;;;;
320;893 609915226 4;?????????????;An;1 ;;;;
321;893 614030705 6;?????????? 01;An;4 ;;;;
322;893 534080430 3;?????? 2 ???;An;47 ;;;;
323;893 534080448 8;?????? 4 ???;An;17 ;;;;
324;893 534080925 4;???????????????;An;83 ;;;;
325;893 534080449 5;????????? 4 ???;An;28 ;;;;
326;893 609915272 1;??????????????;An;177 ;;;;
327;893 609915236 3;?????????;An;30 ;;;;
328;893 534080899 8;?????????;An;2 ;;;;
329;893 534080432 7;???????? 2 ???;An;94 ;;;;
330;893 534080927 8;??????????????;An;70 ;;;;
331;893 534080429 7;??????????? 2 ???;An;22 ;;;;
332;893 534080489 1;???????????????;An;3 ;;;;
333;KNCM;??????????????? Camile - KN Camile;H?p;899 ;;;;
334;KNEPSB;??????????????? Espresso( ??? ) - KN Espresso( Blue );Box;2 ;;;;
335;KNEPSY;??????????????? Espresso( ?????? ) - KN Espresso( Yellow );Box;22 ;;;;
336;KNEPSR;??????????????? Espresso( ??? ) - KN Espresso( Red );Box;132 ;;;;
337;KNKING;???????????????? King - KN King;H?p;2.629 ;;;;
338;KNRK;???????????????? Renka - KN Renka;H?p;3.100 ;;;;
339;KNKRN;????????????????? Korea - KN Korea;Box;2.490 ;;;;
340;KNKRB;????????????????? Korea( ??? ) - KN Korea( Blue );Box;0 ;;;;
341;KNKRY;????????????????? Korea( ?????? ) - KN Korea( Yellow );Box;0 ;;;;
342;KNKRR;????????????????? Korea( ??? ) - KN Korea( Red );Box;0 ;;;;
343;KNLK;????????????????? Lucky - KN luckky;Box;1.861 ;;;;
344;KNLKB;????????????????? Lucky( ??? ) - KN luckky( Blue );Box;0 ;;;;
345;KNLKY;????????????????? Lucky( ?????? ) - KN luckky( Yellow );Box;0 ;;;;
346;KNLKR;????????????????? Lucky( ??? ) - KN luckky( Red );Box;0 ;;;;
347;KNCBR;???????????????? cookie butter ( ??? ) - KN cookie butter ( Red );Box;2.625 ;;;;
348;KNDSR;???????????????? Daisy( ??? ) - KN Daisy( Red );Box;0 ;;;;
349;KNFCR;???????????????? France cookie ( ??? ) - KN France cookie ( Red );Box;1.576 ;;;;
350;KNKLMB;???????????????? Karmela( ??? ) - KN Karmela( Blue );Box;0 ;;;;
351;KNKKR;???????????????? Kit Ket( ??? ) - KN Kit Ket( Red );Box;23 ;;;;
352;KNONG;???????????????? Onion( ??? ) - KN Onion( Green );Box;6 ;;;;
353;KNQUR;???????????????? Queen( ??? ) - KN Queen( Red );Box;16 ;;;;
354;KNRN;???????????????? Reina - KN Reina;Box;18 ;;;;
355;KNNYB;???????????????? Reina( ??? ) - KN Reina( Blue );Box;0 ;;;;
356;KNNYY;???????????????? Reina( ?????? ) - KN Reina( Yellow );Box;0 ;;;;
357;KNNYR;???????????????? Reina( ??? ) - KN Reina( Red );Box;0 ;;;;
358;KNRS;???????????????? Russia - KN russia;Box;109 ;;;;
359;KNSLR;???????????????? Soliete( ??? ) - KN Soliete( Red );Box;5 ;;;;
360;840205716319;?????????????????????????? ??????? ??? PRAN HAPPY CUP RED (15 GM X 20 PCS X 6 JAR);Bottle;1.471 ;;;;
361;840205733347;???????????? ???????  FRESH IN CANDY 2.5 GMx 150 PCSx 12 JAR;Bot;610 ;;;;
362;8936047440221;??????????????????????????? richy - Richy Strawberry Stick;Box;2.162 ;;;;
363;8936047440214;????????????????????????????? richy - Richy Chocolate Stick;Box;2.325 ;;;;
364;6972011793926;??????????????????????????????? - khao nom khai 3 jae Chocolate;Bag;2 ;;;;
365;8938520490280;???????????????????????  - Khao nom pang Yoghurt cream cheese 85g;An;0 ;;;;
366;8976063743098;???????????? ??? - Lipo cream egg cookies cheese flavour 135g;Bag;6.678 ;;;;
367;LPFAX24T;???????????? ??????? Lipo cream egg cookies durian flavour fax24;Fax;1.877 ;;;;
368;8936063742644;???????????? ?????? - Lipo cream egg cookies lemon flavour 135g;Bag;3.969 ;;;;
369;LPFAX24P;???????????? ??????? Lipo cream egg cookies coconut flavour fax24;Fax;1.795 ;;;;
370;LPFAX24N;???????????? ???? Lipo cream egg cookies butter flavour fax24;Fax;1.763 ;;;;
371;8993175537285;???????????????????? - Richeese Wafer 110g (Nabati);Gói;103 ;;;;
372;8993175541008;??????????????? - Richeese Ahh 9g (Nabati);Box;886 ;;;;
373;8993175561945;????????????????? - Goguma Ahh 9g (Nabati);Box;0 ;;;;
374;8936213250067;??????????? - khao nom pia 260 g;Bag;295 ;;;;
375;8936213250081;??????????? -khao nom  PIA 120g;Bag;588 ;;;;
376;8936213250098;??????????? ??????? - khao nom pia khai khem 260G;Bag;271 ;;;;
377;8936213250074;"??????????? ??????- khao nom PIA bai tery   120g""";Bag;1.076 ;;;;
378;8936213250234;??????????? ?????? Pia 300g;Bag;297 ;;;;
379;8993175537346;??????????????????????????? - Richoco Wafer 110g (Nabati);Gói;25 ;;;;
380;8993175533157;??????????????????????????? - Richoco Wafer 15g (Nabati);Box;0 ;;;;
381;8993175542128;??????????????????????????? - Richoco Wafer 17g (Nabati);Fax;281 ;;;;
382;8993175535885;??????????????????????????? - Richoco Wafer 50g (Nabati);Gói;3.375 ;;;;
383;8993175532648;???????????????????? - Richeese Wafer 15g (Nabati);Box;0 ;;;;
384;8993175542098;???????????????????? - Richeese Wafer 17g (Nabati);Fax;108 ;;;;
385;8993175535878;???????????????????? - Richeese Wafer 50g (Nabati);Gói;2.340 ;;;;
386;8993175561211;?????????????????????? - Goguma Wafer 110g (Nabati);Bag;16 ;;;;
387;8993175561167;?????????????????????? - Goguma Wafer 17g (Nabati);Fax;0 ;;;;
388;8993175561198;?????????????????????? - Goguma Wafer 50g (Nabati);Bag;0 ;;;;
389;4969244508467;???????????????? ?????? ??? - khao nom cracker cooki cheese 72g;Bag;1.826 ;;;;
390;4969244508450;???????????????? ?????? ???????+???? - khao nom cracker cooki butter 72g;Bag;1.806 ;;;;
391;8938532962362;???????????????? ??????????? - JIN JU Green Rice Flakes with Milk Flavour Rice Cracker;Bag;1.021 ;;;;
392;8938506170540;???????????????? ????????? - JIN JU Rice Cracker - Ganjang Honey flavor;Bag;665 ;;;;
393;8938532962003;???????????????? ??????? - JIN JU Rice Cracker - BBQ pepper steak flavor;Bag;66 ;;;;
394;8938532962584;???????????????? ?????????????? -JIN JU Pink Salt Rice Cracker;Bag;199 ;;;;
395;8938522877317;??????????????HASUKO ??????-khao nom Yogurt HASUKO hungnok 260g;Bag;0 ;;;;
396;6972011793889;?????????????????????????? - khao nom khai 3jae strawberry;Bag;0 ;;;;
397;6972011793940;??????????????????? - khao nom khai 3jae Cheese;Bag;0 ;;;;
398;6972011793902;???????????????????????? - Khao nom khai 3 jae Matcha;Bag;0 ;;;;
399;6972011794084;??????????????????????????-khao nom khai 4jae strawberry 60G;Bag;0 ;;;;
400;6972011794060;??????????????????????????-khao nom khai 4jae chocolate 60G;Bag;0 ;;;;
401;6972011794077;???????????????????-khao nom khai 4jae Cheese 60G;Bag;0 ;;;;
402;6972011794053;???????????????????????? - khao nom khai 4 jae Matcha 60g;Bag;1 ;;;;
403;6972011793988;????????????????? - khao nom khai lod nom;Bag;0 ;;;;
404;8936217400604;??????????????????????????????????-khao nom khai sensen 3jae chocolate;Bag;4 ;;;;
405;8936217402165;??????????????????????????????????-khao nom khai sensen 3jae chocolate;Bag;1.926 ;;;;
406;8936217402158;?????????????????????????????-khao nom khai 3jae green tea;Bag;45 ;;;;
407;8936217402141;????????????????????????????????-khao nom khai sensen 3jae Original;Bag;5 ;;;;
408;8938547065942;??????????????????-khao nom khai size yai 100G;Bag;390 ;;;;
409;HMCGHY;???????????????????;Bag;40 ;;;;
410;8859522968693;????????????? ??????? 200g  Sen lorn sakhu Nam xiem 200g;Bag;4.009 ;;;;
411;893 6140304888;???????????????? 01;An;94 ;;;;
412;893 534080344 3;???????????????? 02;An;23 ;;;;
413;893 534080778 6;??????????? 01;An;149 ;;;;
414;893 534080661 1;??????????? 02;An;119 ;;;;
415;893 534080988 9;??????????? 01;An;45 ;;;;
416;893 534080989 6;??????????? 02;An;65 ;;;;
417;893 609915918 8;?????????? 01;An;90 ;;;;
418;893 609915919 5;?????????? 02;An;42 ;;;;
419;893 609915920 1;?????????? 03;An;215 ;;;;
420;893 609915943 0;?????????? 04;An;71 ;;;;
421;893 609915959 1;?????????? 05;An;25 ;;;;
422;893 609915965 2;??????????? 01;An;33 ;;;;
423;893 614030481 9;??????????? 02;An;18 ;;;;
424;893 609915968 3;??????????? 03;An;45 ;;;;
425;893 614030648 6;????????? ???? 02;An;1 ;;;;
426;893 534080730 4;????????? fastfood;An;58 ;;;;
427;893 614030599 1;???????????????  128 ???;An;14 ;;;;
428;893 614030646 2;?????????????????????  36 ???;An;19 ;;;;
429;893 609915896 9;??????????????????;An;38 ;;;;
430;893 609915680 4;?????????????????;An;21 ;;;;
431;893 534081016 8;???????????;An;3 ;;;;
432;893 614030250 1;???????????????? 01;An;69 ;;;;
433;893 614030321 8;???????????????? 02;An;40 ;;;;
434;893 534081083 0;?????????;An;76 ;;;;
435;841165161966;???? ????????? TREAT CHOCO BALL 8GM  (24 PACK X 12 POUCH);Fax;360 ;;;;
436;8935060604047;??????? ??????? 500g - NATTY Cologen Long Hai;Bag;940 ;;;;
437;8935060600018;???????????????? 416g - Long Hai;Bag;637 ;;;;
438;8935060603606;???????????????? 910g - Long Hai;Bag;709 ;;;;
439;8935060604061;?????????????? 500g - Calci Long Hai;Bag;1.287 ;;;;
440;8935060600056;?????????????  432 g - NATTY Long Hai;Bag;200 ;;;;
441;TOVP;????????????????? - thùng không bánh h?p v? phong;thùng;20 ;;;;
442;8936052760482;????????? ???? - ???????? Q3 250g CREAM DURIAN CRACKER;Bag;949 ;;;;
443;8936052760628;????????? ???? Q3 250g- ??? ???????? CREAM CRACKER MANGO;Bag;4 ;;;;
444;8936052760178;????????? ???????  Q3 250g - CHEESE CREAM CRACKER Q3 250G;Bag;1.282 ;;;;
T?ng c?ng;;;;531.580 ;;-531.580 ;;
